,词语,情感分类,得分
0,脏乱,NN,-7.0
1,糟报,NN,-5.0
2,早衰,NE,-5.0
3,责备,NN,-5.0
4,贼眼,NN,-5.0
5,战祸,ND,-5.0
6,招灾,NN,-5.0
7,折辱,NE,-5.0
8,中山狼,NN,-5.0
9,清峻,PH,0.0
10,清莹,PH,5.0
11,轻倩,PH,5.0
12,晴丽,PH,5.0
13,求索,PH,3.0
14,热潮,PH,5.0
15,仁政,PH,5.0
16,荣名,PH,5.0
17,柔腻,PH,5.0
18,瑞雪,PA,5.0
19,擅名,PD,7.0
20,神采,PA,5.0
21,省便,PH,5.0
22,盛开,PH,5.0
23,盛誉,PH,5.0
24,诗仙,PH,7.0
25,爽脆,PH,5.0
26,素洁,PH,3.0
27,诪张,NN,-5.0
28,株连,NN,-7.0
29,坠毁,NB,-5.0
30,滋生,NN,-5.0
31,自恃,NN,-5.0
32,走后门,NN,-5.0
33,阻力,NN,-3.0
34,罪状,NN,-9.0
35,做戏,NN,-7.0
36,甜头,PB,5.0
37,头名,PH,5.0
38,婉妙,PH,3.0
39,温淑,PB,1.0
40,稳厚,PH,3.0
41,沃壤,PH,5.0
42,无上,PH,5.0
43,喜人,PA,5.0
44,先贤,PD,5.0
45,鲜妍,PH,5.0
46,相称,PH,5.0
47,骁骑,PH,3.0
48,新巧,PH,5.0
49,新意,PH,5.0
50,信奉,PG,5.0
51,急智,PH,3.0
52,技艺,PH,3.0
53,雄劲,PH,3.0
54,雄肆,PH,3.0
55,秀俊,PH,5.0
56,煦煦,PH,5.0
57,勋绩,PH,5.0
58,雅淡,PH,5.0
59,雅兴,PH,5.0
60,严整,PH,5.0
61,泱泱,PH,5.0
62,怡悦,PA,5.0
63,义诊,PH,5.0
64,英发,PH,5.0
65,英伟,PH,5.0
66,莹润,PH,3.0
67,勇健,PH,3.0
68,优厚,PH,5.0
69,幽雅,PH,5.0
70,有识,PH,5.0
71,友邻,PH,5.0
72,玉人,PH,5.0
73,元勋,PH,5.0
74,佳句,PH,7.0
75,佳趣,PH,5.0
76,兼爱,PH,3.0
77,坚守,PH,7.0
78,简雅,PH,5.0
79,荐举,PG,7.0
80,见称,PH,7.0
81,见闻,PH,1.0
82,奖旗,PH,3.0
83,奖许,PH,7.0
84,姣丽,PH,5.0
85,娇丽,PH,5.0
86,骄子,PH,5.0
87,解惑,PH,3.0
88,津要,PH,5.0
89,金嗓子,PH,3.0
90,匀净,PH,3.0
91,赞词,PH,3.0
92,真纯,PH,3.0
93,箴言,PH,5.0
94,珍玩,PB,7.0
95,正理,PH,5.0
96,指导,PD,3.0
97,至理,PG,7.0
98,致敬,PD,5.0
99,智多星,PH,5.0
100,忠魂,PD,7.0
101,主力军,PH,5.0
102,准绳,PH,5.0
103,卓特,PH,7.0
104,进益,PA,5.0
105,奏凯,PA,5.0
106,尊服,PD,3.0
107,尽瘁,PH,5.0
108,精白,PH,3.0
109,精洁,PH,7.0
110,精妙,PH,5.0
111,精髓,PH,7.0
112,精要,PH,3.0
113,晶洁,PH,5.0
114,景观,PH,5.0
115,敬信,PD,7.0
116,救亡,PH,1.0
117,据实,PG,1.0
118,眷怀,PB,5.0
119,哀鸿遍野,NB,-7.0
120,肮里肮脏,NN,-5.0
121,冰炭不相容,ND,0.0
122,英姿飒爽,PH,9.0
123,有礼,PH,9.0
124,易如反掌,PH,9.0
125,为人正直,PH,9.0
126,心地纯良,PH,9.0
127,不成话,NN,-5.0
128,昭然若揭,NN,-9.0
129,有口无心,NN,-9.0
130,有眼力,PH,9.0
131,不干不净,NN,-3.0
132,异彩纷呈,PH,9.0
133,学富五车,PH,9.0
134,心灵美,PH,9.0
135,香馥馥,PH,9.0
136,味道好,PH,9.0
137,手脚不干净,NN,-9.0
138,索然寡味,NN,-9.0
139,死板板,NN,-9.0
140,松垮垮,NN,-9.0
141,危在旦夕,NC,-9.0
142,无纪律,NN,-9.0
143,无实质,NN,-9.0
144,险峭,NN,-1.0
145,不明不白,NE,-5.0
146,不清不白,NN,-7.0
147,不透明,NN,-3.0
